FIPS,MHI_19,MHIMOE_19
440030201012,126150,42959
440030208002,126607,19909
440050401034,126932,84425
440090504012,127143,18377
440070145013,127313,32649
440090515031,127500,24739
440050401013,127697,25347
440070116004,127917,69953
440090503011,128056,27831
440070114013,128618,44222
440030207031,129028,16494
440070115003,129688,33275
440070114022,129773,21592
440010308004,130179,60834
440070138003,133256,36256
440070114011,134766,50009
440030222014,135130,30987
440070105021,135778,48384
440010303001,136029,17982
440030209031,136154,49962
440090504022,136759,36355
440070132011,137679,64431
440090503022,138611,48826
440070024005,139143,79482
440090503012,140406,68213
440070035001,142656,31026
440090509024,142926,69843
440090515023,143352,26486
440010304003,143438,53724
440070116001,147813,48836
440010303002,149091,37315
440070116003,150917,57807
440030209041,156136,28625
440030209033,156797,31676
440030222012,159078,25143
440070034003,159688,47536
440030208003,159731,18222
440090513062,166007,37675
440070034004,168370,32820
440030216002,172969,50835
440030209012,176528,45888
440050409001,179698,38043
440010301002,184844,73442
440070034002,189938,60247
440010304001,206484,54740
440010304002,220417,91638
440070034001,240536,55063
440030211003,,
440039800001,,
440050401021,,
440050401031,,
440050401033,,
440050402002,,
440050406004,,
440050409004,,
440050413003,,
440059900000,,
440070001014,,
440070002004,,
440070003002,,
440070004001,,
440070004003,,
440070005002,,
440070016007,,
440070018003,,
440070020003,,
440070024001,,
440070036023,,
440070037002,,
440070102002,,
440070103003,,
440070105022,,
440070106001,,
440070106003,,
440070112005,,
440070114012,,
440070118004,,
440070120004,,
440070129003,,
440070135002,,
440070135004,,
440070138001,,
440070147005,,
440070175003,,
440070178001,,
440070184002,,
440090415002,,
440090501031,,
440090501032,,
440090501034,,
440090508012,,
440090511023,,
440090515022,,
440099901000,,
440099902000,,
